Subscription ID,Account name,Plan,Billing frequency,Quantity,Price per unit,Contract start,Renewal due,Billing contact email
LM-0061,Ashvale Removals Ltd,Lite,Monthly,10,33.41,2025-08-15,2026-09-15,billing@ashvaleremovalsl.example
LM-0062,Brindon Clinic Group,Core,Annual,11,59.13,2026-05-16,2027-05-16,billing@brindonclinicgro.example
LM-0063,Culverton Garage Co,Lite,Annual,21,83.92,2025-03-23,2027-03-23,billing@culvertongaragec.example
LM-0064,Dellingham Joinery LLP,Agency,Monthly,102,38,2024-06-14,2026-09-14,billing@dellinghamjoiner.example
LM-0065,Eastmarsh Veterinary Ltd,Core,Annual,93,60.28,2025-08-24,2027-08-24,billing@eastmarshveterin.example
LM-0066,Fairholt Plumbing Group,Lite,Annual,2,67.41,2025-11-15,2026-11-15,billing@fairholtplumbing.example
LM-0067,Glenmore Fitness Co,Lite,Monthly,46,22.51,2025-03-26,2026-09-26,billing@glenmorefitnessc.example
LM-0068,Harkness Salon LLP,Lite,Monthly,20,86.11,2024-01-15,2026-09-15,billing@harknesssalonllp.example
LM-0069,Inglewood Print Ltd,Lite,Monthly,65,42.6,2025-10-27,2026-09-27,billing@inglewoodprintlt.example
LM-0070,Kettleby Florists Group,Core,Annual,25,27.87,2024-01-16,2027-01-16,billing@kettlebyflorists.example
LM-0071,Longmere Studio Co,Agency,Annual,14,10.93,2024-10-18,2026-10-18,billing@longmerestudioco.example
LM-0072,Marchford Bakery LLP,Lite,Annual,50,35.37,2024-03-21,2027-03-21,billing@marchfordbakeryl.example
LM-0073,Netherfold Nursery Ltd,Agency,Quarterly,4,89,2026-02-25,2026-11-25,billing@netherfoldnurser.example
LM-0074,Oakhanger Tutors Group,Core,Annual,26,41.68,2024-05-15,2027-05-15,billing@oakhangertutorsg.example
LM-0075,Pentridge Removals Co,Core,Quarterly,107,10.02,2026-04-26,2026-10-26,billing@pentridgeremoval.example
LM-0076,Quarrendon Clinic LLP,Lite,Monthly,103,48.2,2024-09-28,2026-09-28,billing@quarrendonclinic.example
LM-0077,Rowanhead Garage Ltd,Agency,Annual,91,12,2025-09-16,2026-09-16,billing@rowanheadgaragel.example
LM-0078,Southwick Joinery Group,Lite,Monthly,65,34.32,2026-03-15,2026-09-15,billing@southwickjoinery.example
LM-0079,Thurloxton Veterinary Co,Core,Monthly,87,20.59,2025-07-15,2026-09-15,billing@thurloxtonveteri.example
LM-0080,Wilbraham Plumbing LLP,Core,Monthly,80,61.32,2026-04-21,2026-09-21,billing@wilbrahamplumbin.example
LM-0081,Ashvale Fitness Ltd,Core,Monthly,48,70.48,2026-01-13,2026-09-13,billing@ashvalefitnesslt.example
LM-0082,Brindon Salon Group,Core,Monthly,42,44.74,2024-02-21,2026-09-21,billing@brindonsalongrou.example
LM-0083,Culverton Print Co,Lite,Monthly,103,68.88,2026-05-14,2026-09-14,billing@culvertonprintco.example
LM-0084,Dellingham Florists LLP,Lite,Monthly,37,27.57,2024-10-28,2026-09-28,billing@dellinghamfloris.example
LM-0085,Eastmarsh Studio Ltd,Lite,Annual,67,6.51,2025-10-18,2026-10-18,billing@eastmarshstudiol.example
LM-0086,Fairholt Bakery Group,Core,Quarterly,43,74.22,2025-03-28,2026-09-28,billing@fairholtbakerygr.example
LM-0087,Glenmore Nursery Co,Core,Monthly,55,65.45,2026-06-20,2026-09-20,billing@glenmorenurseryc.example
LM-0088,Harkness Tutors LLP,Core,Annual,11,72.9,2025-08-13,2027-08-13,billing@harknesstutorsll.example
LM-0089,Inglewood Removals Ltd,Agency,Quarterly,10,33.34,2024-08-26,2026-11-26,billing@inglewoodremoval.example
LM-0090,Kettleby Clinic Group,Core,Quarterly,92,52.87,2025-03-18,2026-09-18,billing@kettlebyclinicgr.example
LM-0091,Longmere Garage Co,Core,Monthly,100,35.04,2025-06-25,2026-09-25,billing@longmeregarageco.example
LM-0092,Marchford Joinery LLP,Core,Monthly,29,44.64,2024-07-24,2026-09-24,billing@marchfordjoinery.example
LM-0093,Netherfold Veterinary Ltd,Agency,Annual,9,74.98,2026-06-17,2027-06-17,billing@netherfoldveteri.example
LM-0094,Oakhanger Plumbing Group,Lite,Quarterly,9,82.93,2025-02-24,2026-11-24,billing@oakhangerplumbin.example
LM-0095,Pentridge Fitness Co,Agency,Monthly,30,16.96,2025-06-27,2026-09-27,billing@pentridgefitness.example
LM-0096,Quarrendon Salon LLP,Core,Annual,43,42.96,2026-06-26,2027-06-26,billing@quarrendonsalonl.example
LM-0097,Rowanhead Print Ltd,Core,Quarterly,43,70.41,2025-10-21,2026-10-21,billing@rowanheadprintlt.example
LM-0098,Southwick Florists Group,Core,Annual,54,18.32,2024-07-15,2027-07-15,billing@southwickflorist.example
LM-0099,Thurloxton Studio Co,Lite,Quarterly,85,56.39,2026-03-22,2026-09-22,billing@thurloxtonstudio.example
LM-0100,Wilbraham Bakery LLP,Core,Monthly,119,38.69,2024-07-14,2026-09-14,billing@wilbrahambakeryl.example
LM-0101,Ashvale Nursery Ltd,Lite,Monthly,71,42.56,2026-04-15,2026-09-15,billing@ashvalenurserylt.example
LM-0102,Brindon Tutors Group,Lite,Monthly,39,45.5,2025-01-22,2026-09-22,billing@brindontutorsgro.example
LM-0103,Culverton Removals Co,Core,Monthly,56,29.42,2025-05-25,2026-09-25,billing@culvertonremoval.example
LM-0104,Dellingham Clinic LLP,Agency,Quarterly,40,6.18,2024-02-27,2026-11-27,billing@dellinghamclinic.example
LM-0105,Eastmarsh Garage Ltd,Lite,Quarterly,45,20.77,2025-11-22,2026-11-22,billing@eastmarshgaragel.example
LM-0106,Fairholt Joinery Group,Agency,Monthly,120,45.62,2024-10-23,2026-09-23,billing@fairholtjoineryg.example
LM-0107,Glenmore Veterinary Co,Lite,Monthly,66,79.16,2025-12-25,2026-09-25,billing@glenmoreveterina.example
LM-0108,Harkness Plumbing LLP,Core,Annual,10,6.87,2026-05-23,2027-05-23,billing@harknessplumbing.example
LM-0109,Inglewood Fitness Ltd,Lite,Quarterly,83,75.12,2025-05-26,2026-11-26,billing@inglewoodfitness.example
LM-0110,Kettleby Salon Group,Core,Monthly,10,62.26,2024-04-24,2026-09-24,billing@kettlebysalongro.example
LM-0111,Longmere Print Co,Lite,Annual,96,5.42,2026-02-20,2027-02-20,billing@longmereprintco.example
LM-0112,Marchford Florists LLP,Lite,Annual,47,50.5,2025-09-17,2026-09-17,billing@marchfordflorist.example
LM-0113,Netherfold Studio Ltd,Core,Monthly,42,42.15,2024-04-20,2026-09-20,billing@netherfoldstudio.example
LM-0114,Oakhanger Bakery Group,Core,Annual,31,84.31,2026-04-13,2027-04-13,billing@oakhangerbakeryg.example
LM-0115,Pentridge Nursery Co,Lite,Monthly,112,42.84,2025-01-26,2026-09-26,billing@pentridgenursery.example
LM-0116,Quarrendon Tutors LLP,Core,Annual,33,61.44,2025-08-17,2027-08-17,billing@quarrendontutors.example
LM-0117,Rowanhead Removals Ltd,Core,Monthly,82,72.27,2025-07-26,2026-09-26,billing@rowanheadremoval.example
LM-0118,Southwick Clinic Group,Core,Monthly,19,45.27,2025-06-14,2026-09-14,billing@southwickclinicg.example
LM-0119,Thurloxton Garage Co,Agency,Monthly,26,70.3,2026-02-17,2026-09-17,billing@thurloxtongarage.example
LM-0120,Wilbraham Joinery LLP,Agency,Monthly,81,82.57,2025-03-28,2026-09-28,billing@wilbrahamjoinery.example
LM-0121,Ashvale Veterinary Ltd,Core,Monthly,2,17.45,2024-04-18,2026-09-18,billing@ashvaleveterinar.example
LM-0122,Brindon Plumbing Group,Lite,Quarterly,77,75.51,2026-04-25,2026-10-25,billing@brindonplumbingg.example
LM-0123,Culverton Fitness Co,Lite,Annual,33,23.11,2026-01-16,2027-01-16,billing@culvertonfitness.example
LM-0124,Dellingham Salon LLP,Lite,Monthly,115,61.67,2026-04-16,2026-09-16,billing@dellinghamsalonl.example
LM-0125,Eastmarsh Print Ltd,Lite,Monthly,87,75.77,2025-01-16,2026-09-16,billing@eastmarshprintlt.example
LM-0126,Fairholt Florists Group,Lite,Monthly,78,41.19,2025-11-27,2026-09-27,billing@fairholtflorists.example
LM-0127,Glenmore Studio Co,Core,Quarterly,72,41.56,2025-05-19,2026-11-19,billing@glenmorestudioco.example
LM-0128,Harkness Bakery LLP,Lite,Monthly,45,78.26,2024-07-19,2026-09-19,billing@harknessbakeryll.example
LM-0129,Inglewood Nursery Ltd,Core,Annual,9,4.86,2024-03-18,2027-03-18,billing@inglewoodnursery.example
LM-0130,Kettleby Tutors Group,Agency,Monthly,118,73.75,2025-04-27,2026-09-27,billing@kettlebytutorsgr.example
LM-0131,Longmere Removals Co,Lite,Monthly,87,24.08,2025-04-27,2026-09-27,billing@longmereremovals.example
LM-0132,Marchford Clinic LLP,Agency,Quarterly,41,61.72,2025-03-20,2026-09-20,billing@marchfordclinicl.example
LM-0133,Netherfold Garage Ltd,Core,Annual,110,21.5,2026-06-28,2027-06-28,billing@netherfoldgarage.example
LM-0134,Oakhanger Joinery Group,Core,Monthly,2,53.05,2025-06-23,2026-09-23,billing@oakhangerjoinery.example
LM-0135,Pentridge Veterinary Co,Lite,Quarterly,56,80.83,2025-03-27,2026-09-27,billing@pentridgeveterin.example
LM-0136,Quarrendon Plumbing LLP,Lite,Monthly,45,81.35,2026-04-27,2026-09-27,billing@quarrendonplumbi.example
LM-0137,Rowanhead Fitness Ltd,Lite,Monthly,12,4.86,2025-12-27,2026-09-27,billing@rowanheadfitness.example
LM-0138,Southwick Salon Group,Core,Monthly,12,18.65,2024-04-17,2026-09-17,billing@southwicksalongr.example
LM-0139,Thurloxton Print Co,Lite,Monthly,48,14.9,2024-12-23,2026-09-23,billing@thurloxtonprintc.example
LM-0140,Wilbraham Florists LLP,Lite,Monthly,6,23.86,2026-04-13,2026-09-13,billing@wilbrahamflorist.example
LM-0141,Ashvale Studio Ltd,Core,Monthly,18,65.4,2024-10-25,2026-09-25,billing@ashvalestudioltd.example
LM-0142,Brindon Bakery Group,Core,Quarterly,41,57.03,2025-04-14,2026-10-14,billing@brindonbakerygro.example
LM-0143,Culverton Nursery Co,Lite,Monthly,80,65,2026-04-14,2026-09-14,billing@culvertonnursery.example
LM-0144,Dellingham Tutors LLP,Core,Annual,120,18.04,2026-02-21,2027-02-21,billing@dellinghamtutors.example
LM-0145,Eastmarsh Removals Ltd,Core,Annual,27,68.84,2025-05-14,2027-05-14,billing@eastmarshremoval.example
LM-0146,Fairholt Clinic Group,Lite,Annual,68,23.4,2024-04-25,2027-04-25,billing@fairholtclinicgr.example
LM-0147,Glenmore Garage Co,Agency,Monthly,73,9.46,2025-05-13,2026-09-13,billing@glenmoregarageco.example
LM-0148,Harkness Joinery LLP,Lite,Monthly,42,47.5,2026-05-14,2026-09-14,billing@harknessjoineryl.example
LM-0149,Inglewood Veterinary Ltd,Core,Monthly,34,28.64,2026-06-21,2026-09-21,billing@inglewoodveterin.example
LM-0150,Kettleby Plumbing Group,Core,Monthly,52,16.61,2026-04-20,2026-09-20,billing@kettlebyplumbing.example
LM-0151,Longmere Fitness Co,Agency,Annual,35,4.11,2024-01-17,2027-01-17,billing@longmerefitnessc.example
LM-0152,Marchford Salon LLP,Lite,Monthly,19,74.26,2026-05-28,2026-09-28,billing@marchfordsalonll.example
LM-0153,Netherfold Print Ltd,Core,Annual,74,84.03,2025-08-18,2027-08-18,billing@netherfoldprintl.example
LM-0154,Oakhanger Florists Group,Core,Monthly,35,20.24,2025-05-27,2026-09-27,billing@oakhangerflorist.example
LM-0155,Pentridge Studio Co,Core,Quarterly,58,56.87,2025-04-17,2026-10-17,billing@pentridgestudioc.example
LM-0156,Quarrendon Bakery LLP,Lite,Monthly,96,50.9,2025-12-23,2026-09-23,billing@quarrendonbakery.example
LM-0157,Rowanhead Nursery Ltd,Core,Monthly,5,13.23,2024-07-20,2026-09-20,billing@rowanheadnursery.example
LM-0158,Southwick Tutors Group,Core,Annual,75,69.91,2025-07-16,2027-07-16,billing@southwicktutorsg.example
LM-0159,Thurloxton Removals Co,Agency,Annual,60,40.45,2025-06-13,2027-06-13,billing@thurloxtonremova.example
LM-0160,Wilbraham Clinic LLP,Lite,Quarterly,117,6.85,2025-07-13,2026-10-13,billing@wilbrahamclinicl.example
LM-0161,Ashvale Garage Ltd,Core,Quarterly,31,48.51,2026-05-22,2026-11-22,billing@ashvalegarageltd.example
LM-0162,Brindon Joinery Group,Lite,Annual,43,88.45,2024-09-20,2026-09-20,billing@brindonjoinerygr.example
LM-0163,Culverton Veterinary Co,Lite,Monthly,13,38.65,2024-09-26,2026-09-26,billing@culvertonveterin.example
LM-0164,Dellingham Plumbing LLP,Lite,Quarterly,46,6.61,2025-03-20,2026-09-20,billing@dellinghamplumbi.example
LM-0165,Eastmarsh Fitness Ltd,Lite,Annual,39,57.37,2024-08-22,2027-08-22,billing@eastmarshfitness.example
LM-0166,Fairholt Salon Group,Core,Monthly,14,70.11,2026-05-19,2026-09-19,billing@fairholtsalongro.example
LM-0167,Glenmore Print Co,Lite,Quarterly,37,16.59,2025-03-19,2026-09-19,billing@glenmoreprintco.example
LM-0168,Harkness Florists LLP,Core,Monthly,40,69.07,2024-09-24,2026-09-24,billing@harknessflorists.example
LM-0169,Inglewood Studio Ltd,Agency,Quarterly,25,79.71,2024-01-17,2026-10-17,billing@inglewoodstudiol.example
LM-0170,Kettleby Bakery Group,Core,Annual,108,4.76,2025-05-18,2027-05-18,billing@kettlebybakerygr.example
LM-0171,Longmere Nursery Co,Core,Monthly,29,20.92,2024-04-17,2026-09-17,billing@longmerenurseryc.example
LM-0172,Marchford Tutors LLP,Lite,Annual,85,55.87,2026-05-20,2027-05-20,billing@marchfordtutorsl.example
LM-0173,Netherfold Removals Ltd,Agency,Monthly,88,66.76,2025-12-28,2026-09-28,billing@netherfoldremova.example
LM-0174,Oakhanger Clinic Group,Core,Monthly,82,21.44,2024-03-23,2026-09-23,billing@oakhangerclinicg.example
LM-0175,Pentridge Garage Co,Lite,Monthly,76,53.56,2025-03-17,2026-09-17,billing@pentridgegaragec.example
LM-0176,Quarrendon Joinery LLP,Core,Monthly,23,4.25,2024-11-23,2026-09-23,billing@quarrendonjoiner.example
LM-0177,Rowanhead Veterinary Ltd,Lite,Monthly,34,34.7,2025-12-14,2026-09-14,billing@rowanheadveterin.example
LM-0178,Southwick Plumbing Group,Lite,Monthly,14,89.77,2025-04-26,2026-09-26,billing@southwickplumbin.example
LM-0179,Thurloxton Fitness Co,Agency,Quarterly,99,67.24,2024-09-19,2026-09-19,billing@thurloxtonfitnes.example
LM-0180,Wilbraham Salon LLP,Agency,Quarterly,113,78.68,2026-01-15,2026-10-15,billing@wilbrahamsalonll.example
LM-0181,Ashvale Print Ltd,Agency,Monthly,7,86.41,2025-03-17,2026-09-17,billing@ashvaleprintltd.example
LM-0182,Brindon Florists Group,Core,Monthly,110,87.48,2024-04-15,2026-09-15,billing@brindonfloristsg.example
LM-0183,Culverton Studio Co,Core,Monthly,113,5.81,2025-01-17,2026-09-17,billing@culvertonstudioc.example
LM-0184,Dellingham Bakery LLP,Lite,Annual,109,66.18,2024-06-21,2027-06-21,billing@dellinghambakery.example
LM-0185,Eastmarsh Nursery Ltd,Core,Monthly,41,65.55,2025-08-27,2026-09-27,billing@eastmarshnursery.example
LM-0186,Fairholt Tutors Group,Agency,Monthly,58,11.53,2025-06-19,2026-09-19,billing@fairholttutorsgr.example
LM-0187,Glenmore Removals Co,Agency,Monthly,81,45.57,2026-02-13,2026-09-13,billing@glenmoreremovals.example
LM-0188,Harkness Clinic LLP,Lite,Monthly,115,53.31,2025-06-21,2026-09-21,billing@harknessclinicll.example
LM-0189,Inglewood Garage Ltd,Core,Annual,22,6.02,2026-01-26,2027-01-26,billing@inglewoodgaragel.example
LM-0190,Kettleby Joinery Group,Agency,Quarterly,118,17.65,2024-11-26,2026-11-26,billing@kettlebyjoineryg.example
LM-0191,Longmere Veterinary Co,Lite,Quarterly,37,11.98,2025-05-28,2026-11-28,billing@longmereveterina.example
LM-0192,Marchford Plumbing LLP,Core,Quarterly,9,76.04,2024-07-28,2026-10-28,billing@marchfordplumbin.example
LM-0193,Netherfold Fitness Ltd,Agency,Quarterly,58,15.26,2026-04-28,2026-10-28,billing@netherfoldfitnes.example
LM-0194,Oakhanger Salon Group,Core,Monthly,15,41.9,2024-12-23,2026-09-23,billing@oakhangersalongr.example
LM-0195,Pentridge Print Co,Core,Quarterly,5,74.2,2025-12-14,2026-09-14,billing@pentridgeprintco.example
LM-0196,Quarrendon Florists LLP,Core,Monthly,6,34.23,2025-06-13,2026-09-13,billing@quarrendonfloris.example
LM-0197,Rowanhead Studio Ltd,Lite,Quarterly,24,85.67,2026-01-27,2026-10-27,billing@rowanheadstudiol.example
LM-0198,Southwick Bakery Group,Core,Monthly,112,8.73,2025-10-19,2026-09-19,billing@southwickbakeryg.example
LM-0199,Thurloxton Nursery Co,Lite,Monthly,77,46.02,2025-01-22,2026-09-22,billing@thurloxtonnurser.example
LM-0200,Wilbraham Tutors LLP,Core,Monthly,43,46.07,2025-10-20,2026-09-20,billing@wilbrahamtutorsl.example
LM-0201,Ashvale Removals Ltd,Lite,Monthly,59,44.59,2026-04-20,2026-09-20,billing@ashvaleremovalsl.example
LM-0202,Brindon Clinic Group,Lite,Monthly,21,79.04,2026-06-26,2026-09-26,billing@brindonclinicgro.example
LM-0203,Culverton Garage Co,Lite,Monthly,52,59.79,2026-01-19,2026-09-19,billing@culvertongaragec.example
LM-0204,Dellingham Joinery LLP,Agency,Monthly,16,8.86,2025-09-18,2026-09-18,billing@dellinghamjoiner.example
LM-0205,Eastmarsh Veterinary Ltd,Agency,Annual,54,27.83,2025-07-17,2027-07-17,billing@eastmarshveterin.example
LM-0206,Fairholt Plumbing Group,Agency,Annual,59,42.28,2025-11-28,2026-11-28,billing@fairholtplumbing.example
LM-0207,Glenmore Fitness Co,Core,Quarterly,13,73.07,2026-02-22,2026-11-22,billing@glenmorefitnessc.example
LM-0208,Harkness Salon LLP,Core,Monthly,50,88.34,2026-01-26,2026-09-26,billing@harknesssalonllp.example
LM-0209,Inglewood Print Ltd,Lite,Annual,77,18.26,2025-03-24,2027-03-24,billing@inglewoodprintlt.example
LM-0210,Kettleby Florists Group,Core,Monthly,60,21.68,2024-03-28,2026-09-28,billing@kettlebyflorists.example
LM-0211,Longmere Studio Co,Core,Monthly,28,21.15,2026-01-14,2026-09-14,billing@longmerestudioco.example
LM-0212,Marchford Bakery LLP,Lite,Annual,29,57.77,2024-08-18,2027-08-18,billing@marchfordbakeryl.example
LM-0213,Netherfold Nursery Ltd,Lite,Monthly,44,26.38,2025-09-19,2026-09-19,billing@netherfoldnurser.example
LM-0214,Oakhanger Tutors Group,Core,Annual,2,71.58,2026-03-14,2027-03-14,billing@oakhangertutorsg.example
LM-0215,Pentridge Removals Co,Core,Quarterly,42,30.72,2025-01-14,2026-10-14,billing@pentridgeremoval.example
LM-0216,Quarrendon Clinic LLP,Core,Monthly,51,43.02,2024-10-28,2026-09-28,billing@quarrendonclinic.example
LM-0217,Rowanhead Garage Ltd,Core,Monthly,47,87.26,2024-02-22,2026-09-22,billing@rowanheadgaragel.example
LM-0218,Southwick Joinery Group,Lite,Monthly,46,40.52,2025-03-17,2026-09-17,billing@southwickjoinery.example
LM-0219,Thurloxton Veterinary Co,Core,Monthly,8,19.75,2026-04-15,2026-09-15,billing@thurloxtonveteri.example
LM-0220,Wilbraham Plumbing LLP,Lite,Monthly,113,42.32,2026-02-19,2026-09-19,billing@wilbrahamplumbin.example
LM-0221,Ashvale Fitness Ltd,Core,Annual,27,75.33,2026-06-17,2027-06-17,billing@ashvalefitnesslt.example
LM-0222,Brindon Salon Group,Lite,Quarterly,76,21.43,2024-01-18,2026-10-18,billing@brindonsalongrou.example
LM-0223,Culverton Print Co,Agency,Monthly,74,78.25,2025-06-21,2026-09-21,billing@culvertonprintco.example
LM-0224,Dellingham Florists LLP,Agency,Quarterly,88,4.46,2025-08-13,2026-11-13,billing@dellinghamfloris.example
LM-0225,Eastmarsh Studio Ltd,Lite,Annual,81,18.29,2025-01-13,2027-01-13,billing@eastmarshstudiol.example
LM-0226,Fairholt Bakery Group,Lite,Quarterly,59,79.67,2026-03-23,2026-09-23,billing@fairholtbakerygr.example
