Object no.,Object title,Lender,Condition,Loan status,Handling notes
MLR-00045,View of Two Sisters,Pellworth Collection,Un-stable,Approved,Two-person lift
MLR-00046,Panel of a Winter Field,Ivelet House,Stable,Returned,Two-person lift
MLR-00047,Panel of a Weaver,Pellworth Collection,Under treatment,Requested,Gloves; No flash
MLR-00048,Interior of a Standing Figure,Marden Bequest,Stable,Requested,Two-person lift; No flash
MLR-00049,Panel of the Old Mill,Pellworth Collection,Fragile,Returned,Two-person lift
MLR-00050,Sketch of a Harbour,Rowan & Vale Estate,Stable,Approved,Two-person lift; No flash
MLR-00051,View of a Winter Field,Pellworth Collection,Stable,Returned,Gloves; Two-person lift
MLR-00052,View of a Harbour,Ivelet House,Stable,Returned,Crate only; Gloves
MLR-00053,Interior of the Old Mill,Ashgrove Trust,Stable,Requested,No flash; Gloves
MLR-00054,Interior of the Old Mill,Ashgrove Trust,Stable,Declined,No flash
MLR-00055,Study of a Standing Figure,Halstow Foundation,Stable,Declined,Two-person lift; Crate only
MLR-00056,Portrait of the North Gate,Ivelet House,Under treatment,Returned,Gloves; No flash
MLR-00057,Cast of a Winter Field,Halstow Foundation,Stable,Returned,Gloves; No flash
MLR-00058,Portrait of a Weaver,Pellworth Collection,Fragile,Returned,Gloves
MLR-00059,View of the Old Mill,Halstow Foundation,Stable,Returned,No flash; Two-person lift
MLR-00060,View of the Old Mill,Ashgrove Trust,Stable,Approved,Crate only
MLR-00061,Portrait of a Weaver,Halstow Foundation,Stable,Returned,Crate only; No flash
MLR-00062,Study of the Old Mill,Rowan & Vale Estate,Under treatment,Returned,No flash; Gloves
MLR-00063,Study of a Weaver,Ivelet House,Stable,Approved,Two-person lift; Gloves
MLR-00064,Panel of a Reading Room,Rowan & Vale Estate,Unstable,Returned,Gloves
MLR-00065,Interior of a Reading Room,Pellworth Collection,Under treatment,Returned,Two-person lift; No flash
MLR-00066,Sketch of Two Sisters,Halstow Foundation,In treatment,Returned,No flash
MLR-00067,Interior of the North Gate,Halstow Foundation,Stable,Returned,Two-person lift
MLR-00068,View of a Standing Figure,Ivelet House,Stable,Requested,No flash; Gloves
MLR-00069,Sketch of a Standing Figure,Marden Bequest,Stable,Requested,Gloves; Crate only
MLR-00070,Interior of the Old Mill,Marden Bequest,Under treatment,Returned,Crate only; Gloves
MLR-00071,Study of a Weaver,Marden Bequest,Stable,Declined,No flash; Crate only
MLR-00072,Panel of Two Sisters,Pellworth Collection,Fragile,Returned,No flash
MLR-00073,Sketch of the North Gate,Ashgrove Trust,Fragile,Approved,Crate only; No flash
MLR-00074,Sketch of a Reading Room,Marden Bequest,Under treatment,Returned,Crate only
MLR-00075,Study of the Old Mill,Ashgrove Trust,Under treatment,Returned,Gloves; Two-person lift
MLR-00076,Sketch of a Standing Figure,Halstow Foundation,Stable,Approved,No flash; Two-person lift
MLR-00077,Interior of a Winter Field,Rowan & Vale Estate,Unstable,Returned,Crate only; Gloves
MLR-00078,Cast of a Winter Field,Pellworth Collection,Stable,Requested,Two-person lift
MLR-00079,Panel of a Reading Room,Rowan & Vale Estate,Stable,Returned,No flash; Gloves
MLR-00080,Sketch of Two Sisters,Pellworth Collection,Stable,Approved,Two-person lift; Crate only
MLR-00081,Portrait of a Winter Field,Ashgrove Trust,Stable,Declined,No flash; Gloves
MLR-00082,Study of the Old Mill,Ivelet House,Under treatment,Returned,Two-person lift; Gloves
MLR-00083,Panel of a Standing Figure,Ivelet House,Stable,Returned,Crate only; No flash
MLR-00084,Portrait of a Weaver,Marden Bequest,Stable,Approved,Gloves; No flash
MLR-00085,Panel of a Winter Field,Marden Bequest,Stable,Approved,Crate only; Gloves
MLR-00086,View of a Harbour,Ivelet House,Stable,Approved,Crate only
MLR-00087,Study of the Old Mill,Rowan & Vale Estate,Under treatment,Approved,Gloves; Two-person lift
MLR-00088,Cast of a Winter Field,Marden Bequest,Fragile,Requested,Crate only
MLR-00089,Sketch of a Reading Room,Ashgrove Trust,Stable,Returned,No flash
MLR-00090,Study of a Reading Room,Ivelet House,Fragile,Approved,No flash; Two-person lift
MLR-00091,View of a Winter Field,Ivelet House,Stable,Approved,Crate only; Gloves
MLR-00092,Sketch of a Reading Room,Ashgrove Trust,Stable,Approved,Crate only; Gloves
MLR-00093,Panel of Two Sisters,Marden Bequest,Stable,Declined,Crate only; No flash
MLR-00094,Sketch of the Old Mill,Pellworth Collection,Fragile,Returned,Gloves; flash
MLR-00095,Interior of a Reading Room,Halstow Foundation,Unstable,Declined,Gloves; No flash
MLR-00096,Panel of Two Sisters,Pellworth Collection,Stable,Approved,Two-person lift; No flash
MLR-00097,Interior of the Old Mill,Marden Bequest,Stable,Requested,No flash
MLR-00098,Cast of the Old Mill,Rowan & Vale Estate,Fragile,Returned,Two-person lift; Gloves
MLR-00099,View of a Weaver,Ivelet House,Stable,Requested,No flash; Crate only
MLR-00100,Cast of a Reading Room,Halstow Foundation,Unstable,Approved,Two-person lift
MLR-00101,Sketch of Two Sisters,Ashgrove Trust,Unstable,Approved,No flash
MLR-00102,View of a Reading Room,Rowan & Vale Estate,Stable,Returned,No flash; Two-person lift
MLR-00103,Interior of a Reading Room,Pellworth Collection,Under treatment,Returned,Two-person lift; Gloves
MLR-00104,Portrait of a Standing Figure,Halstow Foundation,Fragile,Returned,Two-person lift
MLR-00105,Panel of a Reading Room,Rowan & Vale Estate,Stable,Requested,Two-person lift; Crate only
MLR-00106,Panel of a Harbour,Marden Bequest,Stable,Returned,Crate only
MLR-00107,Interior of a Weaver,Halstow Foundation,Stable,Declined,No flash; Crate only
MLR-00108,Cast of Two Sisters,Ivelet House,Under treatment,Approved,No flash; Crate only
MLR-00109,Study of a Reading Room,Marden Bequest,Stable,Approved,Gloves
MLR-00110,View of Two Sisters,Ashgrove Trust,Fragile,Declined,No flash
MLR-00111,Cast of Two Sisters,Ivelet House,Under treatment,Approved,Gloves; No flash
MLR-00112,Interior of the North Gate,Ashgrove Trust,Fragile,Returned,Two-person lift; Crate only
MLR-00113,Portrait of a Reading Room,Marden Bequest,Stable,Declined,Two-person lift; Gloves
MLR-00114,Sketch of a Standing Figure,Pellworth Collection,Fragile,Returned,Crate only; Two-person lift
MLR-00115,View of the North Gate,Ivelet House,Fragile,Requested,Gloves; No flash
MLR-00116,Cast of a Reading Room,Rowan & Vale Estate,Stable,Approved,Crate only; No flash
MLR-00117,View of a Harbour,Halstow Foundation,Fragile,Returned,Gloves; no photography
MLR-00118,Portrait of a Winter Field,Halstow Foundation,Fragile,Returned,Crate only; No flash
MLR-00119,Interior of a Reading Room,Rowan & Vale Estate,Fragile,Returned,Gloves
MLR-00120,Interior of a Weaver,Halstow Foundation,Stable,Declined,Two-person lift; Crate only
MLR-00121,View of the Old Mill,Ashgrove Trust,Fragile,Returned,Two-person lift; No flash
MLR-00122,Sketch of a Weaver,Pellworth Collection,Stable,Approved,Two-person lift
MLR-00123,Cast of a Standing Figure,Ashgrove Trust,Stable,Requested,No flash; Gloves
MLR-00124,View of Two Sisters,Pellworth Collection,Stable,Requested,Crate only; No flash
MLR-00125,Cast of a Harbour,Pellworth Collection,Stable,Approved,Two-person lift
MLR-00126,Cast of a Weaver,Ashgrove Trust,Stable,Declined,No flash; Gloves
MLR-00127,Portrait of the North Gate,Marden Bequest,Stable,Approved,Two-person lift; Gloves
MLR-00128,View of a Reading Room,Ashgrove Trust,Stable,Approved,Gloves; Two-person lift
MLR-00129,View of Two Sisters,Ivelet House,Fragile,Returned,No flash
MLR-00130,Sketch of a Standing Figure,Ashgrove Trust,Fragile,Approved,No flash; Gloves
MLR-00131,Interior of a Weaver,Ivelet House,Fragile,Returned,Gloves
MLR-00132,Cast of a Weaver,Rowan & Vale Estate,Stable,Requested,Gloves; No flash
MLR-00133,Portrait of a Weaver,Rowan & Vale Estate,Fragile,Requested,Gloves
MLR-00134,Panel of a Winter Field,Ivelet House,Stable,Requested,Two-person lift
MLR-00135,Cast of a Reading Room,Pellworth Collection,Stable,Approved,No flash; Crate only
MLR-00136,Portrait of the Old Mill,Halstow Foundation,Stable,Requested,Two-person lift; Gloves
MLR-00137,Panel of a Standing Figure,Rowan & Vale Estate,Stable,Returned,Gloves
MLR-00138,Panel of a Reading Room,Pellworth Collection,Stable,Declined,Crate only
MLR-00139,Cast of a Winter Field,Pellworth Collection,Stable,Returned,Crate only; Two-person lift
MLR-00140,View of a Harbour,Pellworth Collection,Stable,Approved,Crate only; Gloves
MLR-00141,View of a Winter Field,Marden Bequest,Fragile,Approved,Gloves; Keep upright
MLR-00142,Sketch of a Winter Field,Pellworth Collection,Stable,Approved,Gloves
MLR-00143,Sketch of a Harbour,Ivelet House,Under treatment,Declined,Two-person lift; Gloves
MLR-00144,Portrait of a Harbour,Ashgrove Trust,Stable,Approved,No flash
MLR-00145,Study of the Old Mill,Pellworth Collection,Fragile,Returned,Gloves; Crate only
MLR-00146,Panel of a Weaver,Ashgrove Trust,Fragile,Returned,Gloves; Crate only
MLR-00147,Panel of a Winter Field,Rowan & Vale Estate,Stable,Approved,Crate only
MLR-00148,Study of Two Sisters,Rowan & Vale Estate,Fragile,Approved,Crate only; Two-person lift
MLR-00149,Sketch of a Reading Room,Rowan & Vale Estate,Stable,Returned,No flash
MLR-00150,Interior of a Winter Field,Pellworth Collection,Under treatment,Returned,No flash; Two-person lift
MLR-00151,Cast of a Standing Figure,Pellworth Collection,Under treatment,Returned,No flash; Crate only
MLR-00152,Study of a Weaver,Ivelet House,Stable,Returned,Crate only; Gloves
MLR-00153,View of Two Sisters,Marden Bequest,Stable,Returned,Crate only
MLR-00154,Panel of a Weaver,Halstow Foundation,Stable,Returned,No flash; Gloves
MLR-00155,View of a Winter Field,Marden Bequest,Stable,Requested,No flash; Crate only
MLR-00156,Sketch of a Reading Room,Halstow Foundation,Fragile,Approved,Gloves; Two-person lift
MLR-00157,Portrait of a Winter Field,Pellworth Collection,Fragile,Returned,Two-person lift; Crate only
MLR-00158,Interior of a Harbour,Marden Bequest,Unstable,Returned,No flash; Gloves
MLR-00159,Sketch of a Reading Room,Marden Bequest,Unstable,Declined,Crate only
MLR-00160,Study of a Weaver,Ivelet House,Unstable,Returned,Gloves
MLR-00161,Interior of a Reading Room,Rowan & Vale Estate,Stable,Returned,Two-person lift; Crate only
MLR-00162,Sketch of a Reading Room,Marden Bequest,Stable,Returned,Two-person lift; No flash
MLR-00163,Sketch of a Winter Field,Ivelet House,Unstable,Approved,Crate only; Two-person lift
MLR-00164,View of the North Gate,Pellworth Collection,Fragile,Declined,Gloves; No flash
MLR-00165,Study of the Old Mill,Pellworth Collection,Fragile,Requested,Gloves; Two-person lift
MLR-00166,Cast of the Old Mill,Marden Bequest,Stable,Returned,Gloves
MLR-00167,View of the Old Mill,Marden Bequest,Stable,Declined,No flash; Crate only
MLR-00168,View of a Harbour,Rowan & Vale Estate,Stable,Returned,Crate only; Two-person lift
MLR-00169,Cast of a Weaver,Marden Bequest,Stable,Returned,No flash; Gloves
MLR-00170,Panel of a Weaver,Marden Bequest,Stable,Requested,Two-person lift; Crate only
MLR-00171,View of the Old Mill,Ivelet House,Stable,Returned,Crate only
MLR-00172,Panel of Two Sisters,Rowan & Vale Estate,Stable,Returned,Two-person lift; Gloves
MLR-00173,Interior of a Weaver,Rowan & Vale Estate,Stable,Returned,Two-person lift; No flash
MLR-00174,Cast of the North Gate,Ashgrove Trust,Fragile,Returned,Two-person lift; Gloves
MLR-00175,Portrait of a Winter Field,Pellworth Collection,Stable,Requested,Two-person lift; No flash
MLR-00176,Sketch of a Weaver,Marden Bequest,Stable,Requested,No flash; Crate only
MLR-00177,Cast of the Old Mill,Pellworth Collection,Fragile,Requested,Two-person lift; No flash
MLR-00178,Panel of the North Gate,Pellworth Collection,Stable,Returned,Two-person lift; Gloves
MLR-00179,Cast of the North Gate,Rowan & Vale Estate,Stable,Requested,No flash; Two-person lift
MLR-00180,View of a Winter Field,Ivelet House,Fragile,Returned,No flash
MLR-00181,View of a Standing Figure,Rowan & Vale Estate,Stable,Approved,No flash; Gloves
MLR-00182,Cast of a Winter Field,Pellworth Collection,Stable,Approved,No flash; Crate only
MLR-00183,Cast of a Harbour,Marden Bequest,Stable,Requested,Two-person lift
MLR-00184,Portrait of a Weaver,Ivelet House,Stable,Requested,Two-person lift; Crate only
MLR-00185,Panel of a Weaver,Pellworth Collection,Stable,Approved,Gloves
MLR-00186,Study of a Reading Room,Marden Bequest,Under treatment,Approved,Crate only
