Vendor code,Vendor name,Spend category,Incoterm,Lead time (days),Approved on,Status,Buyer contact,E-mail
HW-0018,Redmarley Lubricants PLC,Maintenance,DAP,17,2025-09-03,Pending,Deryn Lockhart,deryn.lockhart@redmarleylubri.example
HW-0019,Sedgeberrow Freight Ltd,Logistics,DDP,11,2026-04-19,Approved,Gwilym Gadsby,gwilym.gadsby@sedgeberrowfre.example
HW-0020,Tavistoke Timber Oy,Raw materials,DAP,11,2024-05-30,Approved,Jolanta Barrowclough,jolanta.barrowclough@tavistoketimbe.example
HW-0021,Ulverston Cartons SRL,Packaging,DAP,7,2024-07-06,Pending,Merrick Marchbank,merrick.marchbank@ulverstoncarto.example
HW-0022,Vaynor Couriers BV,Logistics,EXW,19,2025-09-24,Pending,Petra Halliwell,petra.halliwell@vaynorcouriers.example
HW-0023,Whitbourne Glassworks Group,Raw materials,DAP,15,2026-01-19,Approved,Caius Chevington,caius.chevington@whitbourneglas.example
HW-0024,Yatesbury Crates PLC,Packaging,EXW,40,2026-06-20,Approved,Ffion Nettleford,ffion.nettleford@yatesburycrate.example
HW-0025,Alnmouth Warehousing Ltd,Logistics,DAP,49,2025-05-21,Approved,Idris Inkpen,idris.inkpen@alnmouthwareho.example
HW-0026,Bexwell Cleaning Oy,Maintenance,DAP,13,2025-07-14,Pending,Linnet Dunwoody,linnet.dunwoody@bexwellcleanin.example
HW-0027,Ambleforth Films SRL,Packaging,EXW,11,2025-03-14,Approved,Osric Oldbury,osric.oldbury@ambleforthfilm.example
HW-0028,Barrowden Polymers BV,Raw materials,FOB,10,2024-10-05,Approved,Brioney Jelbart,brioney.jelbart@barrowdenpolym.example
HW-0029,Cheswick Calibration Group,Maintenance,DDP,51,2026-03-18,Approved,Eamon Elverton,eamon.elverton@cheswickcalibr.example
HW-0030,Dunsmere Labels PLC,Packaging,FOB,42,2025-08-09,Pending,Hesper Prescott,hesper.prescott@dunsmerelabels.example
HW-0031,Edgeworth Adhesives Ltd,Raw materials,EXW,36,2026-02-26,Pending,Kester Kinnaird,kester.kinnaird@edgeworthadhes.example
HW-0032,Frampton Tooling Oy,Maintenance,DAP,30,2025-08-17,Approved,Nessa Fanshawe,nessa.fanshawe@framptontoolin.example
HW-0033,Galloway Pallets SRL,Packaging,DDP,8,2025-02-04,Approved,Anselm Ambleside,anselm.ambleside@gallowaypallet.example
HW-0034,Hartshorne Alloys BV,Raw materials,FOB,7,2025-12-29,Approved,Deryn Lockhart,deryn.lockhart@hartshorneallo.example
HW-0035,Innesford Filters Group,Maintenance,FOB,45,2025-04-08,Approved,Gwilym Gadsby,gwilym.gadsby@innesfordfilte.example
HW-0036,Jevington Haulage PLC,Logistics,DDP,33,2024-03-08,Approved,Jolanta Barrowclough,jolanta.barrowclough@jevingtonhaula.example
HW-0037,Knayton Pigments Ltd,Raw materials,DAP,28,2025-04-22,Pending,Merrick Marchbank,merrick.marchbank@knaytonpigment.example
HW-0038,Larkhall Lubricants Oy,Maintenance,DAP,50,2025-03-16,Pending,Petra Halliwell,petra.halliwell@larkhalllubric.example
HW-0039,Mirfield Freight SRL,Logistics,DDP,47,2025-11-17,Approved,Caius Chevington,caius.chevington@mirfieldfreigh.example
HW-0040,Newsholme Timber BV,Raw materials,DAP,7,2025-04-23,Approved,Ffion Nettleford,ffion.nettleford@newsholmetimbe.example
HW-0041,Oswaldkirk Cartons Group,Packaging,DAP,49,2024-10-16,Approved,Idris Inkpen,idris.inkpen@oswaldkirkcart.example
HW-0042,Penrhos Couriers PLC,Logistics,FOB,57,2024-10-17,Approved,Linnet Dunwoody,linnet.dunwoody@penrhoscourier.example
HW-0043,Quorndon Glassworks Ltd,Raw materials,EXW,55,2024-02-17,Approved,Osric Oldbury,osric.oldbury@quorndonglassw.example
HW-0044,Redmarley Crates Oy,Packaging,DAP,24,2024-10-11,Pending,Brioney Jelbart,brioney.jelbart@redmarleycrate.example
HW-0045,Sedgeberrow Warehousing SRL,Logistics,DAP,51,2024-05-27,Approved,Eamon Elverton,eamon.elverton@sedgeberrowwar.example
HW-0046,Tavistoke Cleaning BV,Maintenance,EXW,8,2026-07-26,Pending,Hesper Prescott,hesper.prescott@tavistokeclean.example
HW-0047,Ulverston Films Group,Packaging,DAP,27,2024-10-01,Approved,Kester Kinnaird,kester.kinnaird@ulverstonfilms.example
HW-0048,Vaynor Polymers PLC,Raw materials,FOB,21,2026-08-01,Approved,Nessa Fanshawe,nessa.fanshawe@vaynorpolymers.example
HW-0049,Whitbourne Calibration Ltd,Maintenance,DDP,12,2025-09-13,Pending,Anselm Ambleside,anselm.ambleside@whitbournecali.example
HW-0050,Yatesbury Labels Oy,Packaging,DDP,44,2025-01-05,Approved,Deryn Lockhart,deryn.lockhart@yatesburylabel.example
HW-0051,Alnmouth Adhesives SRL,Raw materials,DAP,33,2025-05-26,Approved,Gwilym Gadsby,gwilym.gadsby@alnmouthadhesi.example
HW-0052,Bexwell Tooling BV,Maintenance,DDP,36,2024-08-08,Approved,Jolanta Barrowclough,jolanta.barrowclough@bexwelltooling.example
HW-0053,Ambleforth Pallets Group,Packaging,FOB,50,2025-09-05,Pending,Merrick Marchbank,merrick.marchbank@ambleforthpall.example
HW-0054,Barrowden Alloys PLC,Raw materials,EXW,10,2025-05-31,Approved,Petra Halliwell,petra.halliwell@barrowdenalloy.example
HW-0055,Cheswick Filters Ltd,Maintenance,FOB,14,2024-05-05,Approved,Caius Chevington,caius.chevington@cheswickfilter.example
HW-0056,Dunsmere Haulage Oy,Logistics,DAP,6,2025-05-15,Pending,Ffion Nettleford,ffion.nettleford@dunsmerehaulag.example
HW-0057,Edgeworth Pigments SRL,Raw materials,EXW,17,2024-12-21,Approved,Idris Inkpen,idris.inkpen@edgeworthpigme.example
HW-0058,Frampton Lubricants BV,Maintenance,DAP,28,2024-05-02,Pending,Linnet Dunwoody,linnet.dunwoody@framptonlubric.example
HW-0059,Galloway Freight Group,Logistics,EXW,52,2025-05-31,Suspended,Osric Oldbury,osric.oldbury@gallowayfreigh.example
HW-0060,Hartshorne Timber PLC,Raw materials,DAP,53,2024-01-23,Approved,Brioney Jelbart,brioney.jelbart@hartshornetimb.example
HW-0061,Innesford Cartons Ltd,Packaging,EXW,20,2026-05-01,Approved,Eamon Elverton,eamon.elverton@innesfordcarto.example
HW-0062,Jevington Couriers Oy,Logistics,DDP,49,2024-07-27,Approved,Hesper Prescott,hesper.prescott@jevingtoncouri.example
HW-0063,Knayton Glassworks SRL,Raw materials,DDP,60,2024-07-23,Approved,Kester Kinnaird,kester.kinnaird@knaytonglasswo.example
HW-0064,Larkhall Crates BV,Packaging,FOB,50,2025-04-21,Approved,Nessa Fanshawe,nessa.fanshawe@larkhallcrates.example
HW-0065,Mirfield Warehousing Group,Logistics,FOB,60,2025-07-05,Approved,Anselm Ambleside,anselm.ambleside@mirfieldwareho.example
HW-0066,Newsholme Cleaning PLC,Maintenance,DDP,59,2026-06-11,Approved,Deryn Lockhart,deryn.lockhart@newsholmeclean.example
HW-0067,Oswaldkirk Films Ltd,Packaging,DAP,28,2024-11-29,Pending,Gwilym Gadsby,gwilym.gadsby@oswaldkirkfilm.example
HW-0068,Penrhos Polymers Oy,Raw materials,DAP,4,2026-01-23,Pending,Jolanta Barrowclough,jolanta.barrowclough@penrhospolymer.example
HW-0069,Quorndon Calibration SRL,Maintenance,DAP,34,2025-06-04,Approved,Merrick Marchbank,merrick.marchbank@quorndoncalibr.example
HW-0070,Redmarley Labels BV,Packaging,DDP,23,2025-04-23,Approved,Petra Halliwell,petra.halliwell@redmarleylabel.example
HW-0071,Sedgeberrow Adhesives Group,Raw materials,DAP,33,2024-07-23,Pending,Caius Chevington,caius.chevington@sedgeberrowadh.example
HW-0072,Tavistoke Tooling PLC,Maintenance,DDP,52,2024-11-12,Approved,Ffion Nettleford,ffion.nettleford@tavistoketooli.example
HW-0073,Ulverston Pallets Ltd,Packaging,EXW,8,2026-03-30,Pending,Idris Inkpen,idris.inkpen@ulverstonpalle.example
HW-0074,Vaynor Alloys Oy,Raw materials,DAP,5,2025-08-01,Approved,Linnet Dunwoody,linnet.dunwoody@vaynoralloysoy.example
HW-0075,Whitbourne Filters SRL,Maintenance,DDP,28,2024-07-08,Pending,Osric Oldbury,osric.oldbury@whitbournefilt.example
HW-0076,Yatesbury Haulage BV,Logistics,EXW,55,2024-09-28,Approved,Brioney Jelbart,brioney.jelbart@yatesburyhaula.example
HW-0077,Alnmouth Pigments Group,Raw materials,DAP,15,2025-09-01,Pending,Eamon Elverton,eamon.elverton@alnmouthpigmen.example
HW-0078,Bexwell Lubricants PLC,Maintenance,DDP,5,2025-02-20,Pending,Hesper Prescott,hesper.prescott@bexwelllubrica.example
HW-0079,Ambleforth Freight Ltd,Logistics,DAP,41,2024-08-10,Suspended,Kester Kinnaird,kester.kinnaird@ambleforthfrei.example
HW-0080,Barrowden Timber Oy,Raw materials,FOB,15,2024-02-18,Suspended,Nessa Fanshawe,nessa.fanshawe@barrowdentimbe.example
HW-0081,Cheswick Cartons SRL,Packaging,DDP,59,2025-11-02,Approved,Anselm Ambleside,anselm.ambleside@cheswickcarton.example
HW-0082,Dunsmere Couriers BV,Logistics,FOB,42,2025-03-06,Approved,Deryn Lockhart,deryn.lockhart@dunsmerecourie.example
HW-0083,Edgeworth Glassworks Group,Raw materials,FOB,51,2024-05-12,Pending,Gwilym Gadsby,gwilym.gadsby@edgeworthglass.example
HW-0084,Frampton Crates PLC,Packaging,DAP,43,2026-07-13,Approved,Jolanta Barrowclough,jolanta.barrowclough@framptoncrates.example
HW-0085,Galloway Warehousing Ltd,Logistics,EXW,52,2026-07-20,Pending,Merrick Marchbank,merrick.marchbank@gallowaywareho.example
HW-0086,Hartshorne Cleaning Oy,Maintenance,FOB,27,2024-04-21,Approved,Petra Halliwell,petra.halliwell@hartshorneclea.example
HW-0087,Innesford Films SRL,Packaging,EXW,22,2026-05-24,Pending,Caius Chevington,caius.chevington@innesfordfilms.example
HW-0088,Jevington Polymers BV,Raw materials,EXW,48,2024-05-23,Suspended,Ffion Nettleford,ffion.nettleford@jevingtonpolym.example
HW-0089,Knayton Calibration Group,Maintenance,EXW,8,2026-05-05,Pending,Idris Inkpen,idris.inkpen@knaytoncalibra.example
HW-0090,Larkhall Labels PLC,Packaging,FOB,43,2026-02-05,Approved,Linnet Dunwoody,linnet.dunwoody@larkhalllabels.example
HW-0091,Mirfield Adhesives Ltd,Raw materials,DAP,30,2025-05-09,Approved,Osric Oldbury,osric.oldbury@mirfieldadhesi.example
HW-0092,Newsholme Tooling Oy,Maintenance,DDP,17,2025-03-02,Approved,Brioney Jelbart,brioney.jelbart@newsholmetooli.example
HW-0093,Oswaldkirk Pallets SRL,Packaging,EXW,58,2025-10-07,Pending,Eamon Elverton,eamon.elverton@oswaldkirkpall.example
HW-0094,Penrhos Alloys BV,Raw materials,FOB,51,2025-12-10,Approved,Hesper Prescott,hesper.prescott@penrhosalloysb.example
HW-0095,Quorndon Filters Group,Maintenance,DDP,23,2025-05-19,Pending,Kester Kinnaird,kester.kinnaird@quorndonfilter.example
HW-0096,Redmarley Haulage PLC,Logistics,DAP,26,2025-12-13,Approved,Nessa Fanshawe,nessa.fanshawe@redmarleyhaula.example
HW-0097,Sedgeberrow Pigments Ltd,Raw materials,DAP,38,2024-02-24,Approved,Anselm Ambleside,anselm.ambleside@sedgeberrowpig.example
HW-0098,Tavistoke Lubricants Oy,Maintenance,EXW,54,2024-03-06,Suspended,Deryn Lockhart,deryn.lockhart@tavistokelubri.example
HW-0099,Ulverston Freight SRL,Logistics,FOB,22,2024-06-27,Pending,Gwilym Gadsby,gwilym.gadsby@ulverstonfreig.example
HW-0100,Vaynor Timber BV,Raw materials,DAP,58,2025-03-12,Pending,Jolanta Barrowclough,jolanta.barrowclough@vaynortimberbv.example
HW-0101,Whitbourne Cartons Group,Packaging,EXW,48,2024-09-29,Approved,Merrick Marchbank,merrick.marchbank@whitbournecart.example
HW-0102,Yatesbury Couriers PLC,Logistics,DAP,9,2024-02-18,Approved,Petra Halliwell,petra.halliwell@yatesburycouri.example
HW-0103,Alnmouth Glassworks Ltd,Raw materials,DDP,28,2024-03-24,Approved,Caius Chevington,caius.chevington@alnmouthglassw.example
HW-0104,Bexwell Crates Oy,Packaging,EXW,58,2024-01-13,Approved,Ffion Nettleford,ffion.nettleford@bexwellcrateso.example
HW-0105,Ambleforth Warehousing SRL,Logistics,DDP,26,2025-05-05,Approved,Idris Inkpen,idris.inkpen@ambleforthware.example
HW-0106,Barrowden Cleaning BV,Maintenance,DAP,27,2024-02-14,Approved,Linnet Dunwoody,linnet.dunwoody@barrowdenclean.example
HW-0107,Cheswick Films Group,Packaging,DDP,59,2024-07-11,Approved,Osric Oldbury,osric.oldbury@cheswickfilmsg.example
HW-0108,Dunsmere Polymers PLC,Raw materials,FOB,34,2026-08-02,Approved,Brioney Jelbart,brioney.jelbart@dunsmerepolyme.example
HW-0109,Edgeworth Calibration Ltd,Maintenance,DAP,6,2025-06-23,Approved,Eamon Elverton,eamon.elverton@edgeworthcalib.example
HW-0110,Frampton Labels Oy,Packaging,DAP,48,2026-05-25,Approved,Hesper Prescott,hesper.prescott@framptonlabels.example
HW-0111,Galloway Adhesives SRL,Raw materials,DAP,58,2024-10-21,Approved,Kester Kinnaird,kester.kinnaird@gallowayadhesi.example
HW-0112,Hartshorne Tooling BV,Maintenance,DAP,34,2025-02-16,Approved,Nessa Fanshawe,nessa.fanshawe@hartshornetool.example
HW-0113,Innesford Pallets Group,Packaging,DAP,29,2024-12-14,Approved,Anselm Ambleside,anselm.ambleside@innesfordpalle.example
HW-0114,Jevington Alloys PLC,Raw materials,DAP,5,2024-01-11,Approved,Deryn Lockhart,deryn.lockhart@jevingtonalloy.example
HW-0115,Knayton Filters Ltd,Maintenance,FOB,49,2024-08-18,Approved,Gwilym Gadsby,gwilym.gadsby@knaytonfilters.example
HW-0116,Larkhall Haulage Oy,Logistics,DAP,38,2026-06-24,Approved,Jolanta Barrowclough,jolanta.barrowclough@larkhallhaulag.example
HW-0117,Mirfield Pigments SRL,Raw materials,DAP,27,2024-07-07,Pending,Merrick Marchbank,merrick.marchbank@mirfieldpigmen.example
HW-0118,Newsholme Lubricants BV,Maintenance,DAP,11,2024-11-11,Approved,Petra Halliwell,petra.halliwell@newsholmelubri.example
HW-0119,Oswaldkirk Freight Group,Logistics,EXW,55,2025-08-07,Approved,Caius Chevington,caius.chevington@oswaldkirkfrei.example
HW-0120,Penrhos Timber PLC,Raw materials,EXW,23,2025-01-20,Pending,Ffion Nettleford,ffion.nettleford@penrhostimberp.example
HW-0121,Quorndon Cartons Ltd,Packaging,FOB,49,2026-04-21,Approved,Idris Inkpen,idris.inkpen@quorndoncarton.example
HW-0122,Redmarley Couriers Oy,Logistics,DDP,10,2025-04-02,Approved,Linnet Dunwoody,linnet.dunwoody@redmarleycouri.example
HW-0123,Sedgeberrow Glassworks SRL,Raw materials,FOB,31,2024-03-16,Suspended,Osric Oldbury,osric.oldbury@sedgeberrowgla.example
HW-0124,Tavistoke Crates BV,Packaging,EXW,57,2024-08-30,Approved,Brioney Jelbart,brioney.jelbart@tavistokecrate.example
HW-0125,Ulverston Warehousing Group,Logistics,EXW,5,2024-03-06,Approved,Eamon Elverton,eamon.elverton@ulverstonwareh.example
HW-0126,Vaynor Cleaning PLC,Maintenance,DDP,36,2026-01-31,Pending,Hesper Prescott,hesper.prescott@vaynorcleaning.example
HW-0127,Whitbourne Films Ltd,Packaging,DDP,15,2024-07-22,Approved,Kester Kinnaird,kester.kinnaird@whitbournefilm.example
HW-0128,Yatesbury Polymers Oy,Raw materials,DAP,41,2025-05-18,Pending,Nessa Fanshawe,nessa.fanshawe@yatesburypolym.example
HW-0129,Alnmouth Calibration SRL,Maintenance,DAP,29,2024-07-01,Approved,Anselm Ambleside,anselm.ambleside@alnmouthcalibr.example
HW-0130,Bexwell Labels BV,Packaging,DDP,27,2024-03-08,Approved,Deryn Lockhart,deryn.lockhart@bexwelllabelsb.example
HW-0131,Ambleforth Adhesives Group,Raw materials,DAP,26,2024-09-21,Approved,Gwilym Gadsby,gwilym.gadsby@ambleforthadhe.example
HW-0132,Barrowden Tooling PLC,Maintenance,FOB,47,2025-09-04,Pending,Jolanta Barrowclough,jolanta.barrowclough@barrowdentooli.example
HW-0133,Cheswick Pallets Ltd,Packaging,DDP,22,2024-01-24,Pending,Merrick Marchbank,merrick.marchbank@cheswickpallet.example
HW-0134,Dunsmere Alloys Oy,Raw materials,DAP,15,2025-08-05,Approved,Petra Halliwell,petra.halliwell@dunsmerealloys.example
HW-0135,Edgeworth Filters SRL,Maintenance,EXW,19,2024-04-13,Suspended,Caius Chevington,caius.chevington@edgeworthfilte.example
HW-0136,Frampton Haulage BV,Logistics,DDP,11,2026-06-26,Approved,Ffion Nettleford,ffion.nettleford@framptonhaulag.example
HW-0137,Galloway Pigments Group,Raw materials,EXW,30,2026-07-10,Approved,Idris Inkpen,idris.inkpen@gallowaypigmen.example
HW-0138,Hartshorne Lubricants PLC,Maintenance,FOB,14,2024-12-07,Pending,Linnet Dunwoody,linnet.dunwoody@hartshornelubr.example
HW-0139,Innesford Freight Ltd,Logistics,DDP,11,2024-10-17,Approved,Osric Oldbury,osric.oldbury@innesfordfreig.example
HW-0140,Jevington Timber Oy,Raw materials,DDP,27,2025-03-14,Approved,Brioney Jelbart,brioney.jelbart@jevingtontimbe.example
HW-0141,Knayton Cartons SRL,Packaging,DAP,28,2025-12-05,Approved,Eamon Elverton,eamon.elverton@knaytoncartons.example
HW-0142,Larkhall Couriers BV,Logistics,EXW,37,2024-11-24,Suspended,Hesper Prescott,hesper.prescott@larkhallcourie.example
HW-0143,Mirfield Glassworks Group,Raw materials,DAP,8,2024-02-10,Approved,Kester Kinnaird,kester.kinnaird@mirfieldglassw.example
HW-0144,Newsholme Crates PLC,Packaging,FOB,42,2025-09-04,Suspended,Nessa Fanshawe,nessa.fanshawe@newsholmecrate.example
HW-0145,Oswaldkirk Warehousing Ltd,Logistics,EXW,25,2026-03-04,Pending,Anselm Ambleside,anselm.ambleside@oswaldkirkware.example
HW-0146,Penrhos Cleaning Oy,Maintenance,FOB,55,2024-12-24,Pending,Deryn Lockhart,deryn.lockhart@penrhoscleanin.example
HW-0147,Quorndon Films SRL,Packaging,EXW,52,2025-03-07,Approved,Gwilym Gadsby,gwilym.gadsby@quorndonfilmss.example
HW-0148,Redmarley Polymers BV,Raw materials,FOB,42,2026-04-14,Suspended,Jolanta Barrowclough,jolanta.barrowclough@redmarleypolym.example
HW-0149,Sedgeberrow Calibration Group,Maintenance,DAP,14,2025-06-08,Approved,Merrick Marchbank,merrick.marchbank@sedgeberrowcal.example
HW-0150,Tavistoke Labels PLC,Packaging,FOB,46,2024-11-05,Pending,Petra Halliwell,petra.halliwell@tavistokelabel.example
HW-0151,Ulverston Adhesives Ltd,Raw materials,FOB,10,2024-06-08,Approved,Caius Chevington,caius.chevington@ulverstonadhes.example
HW-0152,Vaynor Tooling Oy,Maintenance,EXW,6,2024-06-05,Approved,Ffion Nettleford,ffion.nettleford@vaynortoolingo.example
HW-0153,Whitbourne Pallets SRL,Packaging,FOB,17,2025-01-03,Approved,Idris Inkpen,idris.inkpen@whitbournepall.example
HW-0154,Yatesbury Alloys BV,Raw materials,DAP,30,2024-03-29,Approved,Linnet Dunwoody,linnet.dunwoody@yatesburyalloy.example
HW-0155,Alnmouth Filters Group,Maintenance,DDP,4,2025-02-12,Approved,Osric Oldbury,osric.oldbury@alnmouthfilter.example
HW-0156,Bexwell Haulage PLC,Logistics,DDP,17,2024-08-05,Suspended,Brioney Jelbart,brioney.jelbart@bexwellhaulage.example
HW-0157,Ambleforth Pigments Ltd,Raw materials,EXW,5,2026-07-12,Suspended,Eamon Elverton,eamon.elverton@ambleforthpigm.example
HW-0158,Barrowden Lubricants Oy,Maintenance,DDP,9,2026-07-13,Approved,Hesper Prescott,hesper.prescott@barrowdenlubri.example
HW-0159,Cheswick Freight SRL,Logistics,EXW,12,2025-01-06,Approved,Kester Kinnaird,kester.kinnaird@cheswickfreigh.example
HW-0160,Dunsmere Timber BV,Raw materials,DAP,52,2025-04-01,Pending,Nessa Fanshawe,nessa.fanshawe@dunsmeretimber.example
HW-0161,Edgeworth Cartons Group,Packaging,DDP,39,2025-05-01,Approved,Anselm Ambleside,anselm.ambleside@edgeworthcarto.example
HW-0162,Frampton Couriers PLC,Logistics,DAP,53,2025-02-07,Pending,Deryn Lockhart,deryn.lockhart@framptoncourie.example
HW-0163,Galloway Glassworks Ltd,Raw materials,FOB,9,2025-03-19,Approved,Gwilym Gadsby,gwilym.gadsby@gallowayglassw.example
HW-0164,Hartshorne Crates Oy,Packaging,FOB,52,2024-09-23,Approved,Jolanta Barrowclough,jolanta.barrowclough@hartshornecrat.example
HW-0165,Innesford Warehousing SRL,Logistics,DDP,20,2025-12-13,Approved,Merrick Marchbank,merrick.marchbank@innesfordwareh.example
HW-0166,Jevington Cleaning BV,Maintenance,EXW,53,2025-11-19,Pending,Petra Halliwell,petra.halliwell@jevingtonclean.example
HW-0167,Knayton Films Group,Packaging,DDP,28,2025-05-31,Approved,Caius Chevington,caius.chevington@knaytonfilmsgr.example
HW-0168,Larkhall Polymers PLC,Raw materials,DAP,3,2024-11-25,Approved,Ffion Nettleford,ffion.nettleford@larkhallpolyme.example
HW-0169,Mirfield Calibration Ltd,Maintenance,EXW,32,2025-12-27,Approved,Idris Inkpen,idris.inkpen@mirfieldcalibr.example
HW-0170,Newsholme Labels Oy,Packaging,DDP,18,2025-11-24,Approved,Linnet Dunwoody,linnet.dunwoody@newsholmelabel.example
HW-0171,Oswaldkirk Adhesives SRL,Raw materials,EXW,5,2024-11-18,Approved,Osric Oldbury,osric.oldbury@oswaldkirkadhe.example
HW-0172,Penrhos Tooling BV,Maintenance,DAP,21,2026-02-21,Suspended,Brioney Jelbart,brioney.jelbart@penrhostooling.example
HW-0173,Quorndon Pallets Group,Packaging,DDP,25,2025-04-18,Approved,Eamon Elverton,eamon.elverton@quorndonpallet.example
HW-0174,Redmarley Alloys PLC,Raw materials,DDP,43,2025-12-01,Approved,Hesper Prescott,hesper.prescott@redmarleyalloy.example
HW-0175,Sedgeberrow Filters Ltd,Maintenance,DDP,29,2024-12-29,Suspended,Kester Kinnaird,kester.kinnaird@sedgeberrowfil.example
HW-0176,Tavistoke Haulage Oy,Logistics,FOB,10,2025-10-14,Pending,Nessa Fanshawe,nessa.fanshawe@tavistokehaula.example
HW-0177,Ulverston Pigments SRL,Raw materials,DDP,33,2025-09-26,Approved,Anselm Ambleside,anselm.ambleside@ulverstonpigme.example
HW-0178,Vaynor Lubricants BV,Maintenance,FOB,21,2024-02-15,Suspended,Deryn Lockhart,deryn.lockhart@vaynorlubrican.example
HW-0179,Whitbourne Freight Group,Logistics,EXW,22,2024-11-23,Suspended,Gwilym Gadsby,gwilym.gadsby@whitbournefrei.example
HW-0180,Yatesbury Timber PLC,Raw materials,DDP,55,2025-07-07,Approved,Jolanta Barrowclough,jolanta.barrowclough@yatesburytimbe.example
HW-0181,Alnmouth Cartons Ltd,Packaging,DDP,7,2024-08-17,Approved,Merrick Marchbank,merrick.marchbank@alnmouthcarton.example
HW-0182,Bexwell Couriers Oy,Logistics,EXW,50,2024-06-24,Approved,Petra Halliwell,petra.halliwell@bexwellcourier.example
HW-0183,Ambleforth Glassworks SRL,Raw materials,FOB,38,2024-04-17,Approved,Caius Chevington,caius.chevington@ambleforthglas.example
HW-0184,Barrowden Crates BV,Packaging,DAP,37,2025-03-03,Approved,Ffion Nettleford,ffion.nettleford@barrowdencrate.example
HW-0185,Cheswick Warehousing Group,Logistics,DAP,18,2024-06-27,Approved,Idris Inkpen,idris.inkpen@cheswickwareho.example
HW-0186,Dunsmere Cleaning PLC,Maintenance,EXW,34,2025-03-17,Pending,Linnet Dunwoody,linnet.dunwoody@dunsmerecleani.example
HW-0187,Edgeworth Films Ltd,Packaging,FOB,13,2024-01-11,Approved,Osric Oldbury,osric.oldbury@edgeworthfilms.example
HW-0188,Frampton Polymers Oy,Raw materials,DDP,46,2025-09-23,Pending,Brioney Jelbart,brioney.jelbart@framptonpolyme.example
HW-0189,Galloway Calibration SRL,Maintenance,FOB,24,2026-04-23,Approved,Eamon Elverton,eamon.elverton@gallowaycalibr.example
HW-0190,Hartshorne Labels BV,Packaging,FOB,58,2025-05-04,Approved,Hesper Prescott,hesper.prescott@hartshornelabe.example
HW-0191,Innesford Adhesives Group,Raw materials,DAP,7,2024-06-10,Approved,Kester Kinnaird,kester.kinnaird@innesfordadhes.example
HW-0192,Jevington Tooling PLC,Maintenance,DDP,54,2026-05-16,Approved,Nessa Fanshawe,nessa.fanshawe@jevingtontooli.example
HW-0193,Knayton Pallets Ltd,Packaging,DAP,6,2025-08-23,Approved,Anselm Ambleside,anselm.ambleside@knaytonpallets.example
HW-0194,Larkhall Alloys Oy,Raw materials,DDP,7,2025-08-28,Approved,Deryn Lockhart,deryn.lockhart@larkhallalloys.example
HW-0195,Mirfield Filters SRL,Maintenance,DAP,33,2024-04-03,Approved,Gwilym Gadsby,gwilym.gadsby@mirfieldfilter.example
